timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204131.935,50.781,-29.785,-31.250,-42.969,0.000
1700204131.939,-219.727,-33.691,-33.691,-220.703,0.000
1700204131.942,-160.156,-34.180,-31.250,-79.102,0.000
1700204131.946,105.469,-26.855,-28.809,123.047,0.000
1700204131.950,115.723,-30.273,-36.133,33.203,0.000
1700204131.954,-155.273,-41.992,-39.551,-184.570,0.000
1700204131.958,-219.727,-41.504,-33.691,-140.137,0.000
1700204131.962,43.945,-38.086,-24.902,101.562,0.000
1700204131.966,139.648,-40.039,-25.879,83.496,0.000
1700204131.970,-66.406,-40.527,-32.227,-136.719,0.000
1700204131.974,-243.652,-44.922,-31.250,-196.777,0.000
1700204131.978,-37.598,-48.340,-29.297,42.969,0.000
1700204131.981,133.789,-44.434,-27.832,108.887,0.000
1700204131.985,-2.441,-41.016,-32.227,-90.332,0.000
1700204131.989,-253.418,-39.062,-29.785,-230.469,0.000
1700204131.993,-117.188,-35.156,-24.414,-23.438,0.000
1700204131.997,110.352,-37.598,-21.484,123.047,0.000
1700204132.001,50.781,-41.016,-22.949,-28.320,0.000
1700204132.005,-215.820,-35.645,-30.762,-218.262,0.000
1700204132.009,-185.059,-30.762,-31.250,-87.891,0.000
1700204132.013,77.637,-35.156,-37.598,128.906,0.000
1700204132.017,117.676,-34.180,-39.062,43.457,0.000
1700204132.021,-126.465,-31.250,-36.621,-169.434,0.000
1700204132.024,-227.051,-32.715,-33.691,-137.695,0.000
1700204132.028,19.531,-31.250,-22.949,96.680,0.000
1700204132.032,139.648,-26.855,-23.926,96.191,0.000
1700204132.036,-56.641,-25.391,-28.320,-107.910,0.000
1700204132.040,-261.230,-36.621,-23.438,-182.617,0.000
1700204132.044,-71.777,-41.016,-25.391,39.551,0.000
1700204132.048,107.422,-35.156,-22.949,124.023,0.000
1700204132.052,-4.395,-32.715,-23.926,-62.500,0.000
1700204132.056,-264.160,-36.133,-33.691,-226.074,0.000
1700204132.060,-159.180,-35.645,-32.227,-38.086,0.000
1700204132.064,96.191,-32.715,-26.367,127.930,0.000
1700204132.067,81.055,-32.227,-28.809,-10.254,0.000
1700204132.071,-181.641,-33.203,-36.621,-213.867,0.000
1700204132.075,-193.848,-33.691,-34.668,-112.793,0.000
1700204132.079,62.988,-37.109,-24.902,98.145,0.000
1700204132.083,117.676,-44.434,-23.438,31.250,0.000
1700204132.087,-119.141,-46.875,-25.391,-186.035,0.000
1700204132.091,-240.234,-47.852,-24.902,-177.246,0.000
1700204132.095,3.906,-45.898,-26.855,65.918,0.000
1700204132.099,143.066,-42.480,-27.344,94.727,0.000
1700204132.103,-27.832,-41.992,-28.320,-105.957,0.000
1700204132.106,-248.047,-42.480,-30.762,-216.309,0.000
1700204132.110,-73.242,-40.039,-23.926,6.836,0.000
1700204132.114,133.301,-38.086,-16.602,119.141,0.000
1700204132.118,37.109,-38.574,-26.855,-53.223,0.000
1700204132.122,-223.145,-39.551,-30.762,-219.238,0.000
1700204132.126,-137.207,-36.133,-28.809,-45.410,0.000
1700204132.130,120.117,-27.344,-29.785,145.020,0.000
1700204132.134,120.117,-25.879,-26.855,37.598,0.000
1700204132.138,-155.762,-30.762,-24.902,-190.430,0.000
1700204132.142,-201.172,-28.320,-24.902,-138.672,0.000
1700204132.146,58.105,-28.320,-24.414,86.426,0.000
1700204132.149,132.812,-32.715,-28.320,39.551,0.000
1700204132.153,-73.730,-32.715,-36.133,-178.711,0.000
1700204132.157,-224.121,-31.738,-38.086,-201.172,0.000
1700204132.161,2.930,-31.250,-34.180,55.664,0.000
1700204132.165,172.852,-24.902,-22.949,118.164,0.000
1700204132.169,12.207,-26.367,-29.297,-89.844,0.000
1700204132.173,-237.793,-31.250,-36.621,-230.957,0.000
1700204132.177,-78.613,-28.320,-28.809,-18.555,0.000
1700204132.181,150.879,-24.414,-25.879,119.629,0.000
1700204132.185,84.961,-22.461,-29.297,-41.016,0.000
1700204132.189,-196.777,-27.832,-31.250,-222.168,0.000
1700204132.192,-157.715,-32.715,-30.762,-73.242,0.000
1700204132.196,100.586,-35.645,-29.297,119.629,0.000
1700204132.200,113.770,-40.527,-31.738,22.949,0.000
1700204132.204,-140.625,-43.945,-36.621,-188.477,0.000
1700204132.208,-214.355,-44.434,-39.062,-145.996,0.000
1700204132.212,42.480,-36.133,-35.156,95.215,0.000
1700204132.216,153.809,-32.715,-32.715,81.543,0.000
1700204132.220,-45.410,-39.551,-33.203,-131.836,0.000
1700204132.224,-228.027,-37.598,-32.227,-178.711,0.000
1700204132.228,-22.461,-31.250,-33.203,55.664,0.000
1700204132.232,150.879,-33.203,-28.809,120.117,0.000
1700204132.235,26.367,-40.527,-31.738,-63.965,0.000
1700204132.239,-224.121,-40.039,-37.598,-209.473,0.000
1700204132.243,-103.027,-36.133,-35.645,-18.066,0.000
1700204132.247,130.371,-33.203,-32.715,124.023,0.000
1700204132.251,86.426,-32.227,-28.809,-19.043,0.000
1700204132.255,-175.781,-30.273,-26.855,-207.031,0.000
1700204132.259,-157.715,-26.367,-24.902,-87.402,0.000
1700204132.263,104.492,-21.973,-24.414,125.488,0.000
1700204132.267,158.203,-20.508,-24.902,52.734,0.000
1700204132.271,-85.449,-22.949,-24.902,-173.828,0.000
1700204132.274,-206.055,-25.879,-26.367,-172.852,0.000
1700204132.278,30.273,-30.762,-22.949,64.941,0.000
1700204132.282,149.414,-36.621,-22.949,77.637,0.000
1700204132.286,-36.133,-38.086,-29.297,-134.277,0.000
1700204132.290,-236.328,-38.574,-27.344,-213.867,0.000
1700204132.294,-51.758,-33.691,-17.578,24.902,0.000
1700204132.298,138.184,-30.762,-20.996,107.910,0.000
1700204132.302,41.992,-29.297,-36.133,-85.449,0.000
1700204132.306,-210.938,-33.203,-38.086,-241.699,0.000
1700204132.310,-112.793,-36.133,-25.879,-49.805,0.000
1700204132.314,117.676,-31.738,-23.438,113.770,0.000
1700204132.317,89.844,-32.715,-27.832,-15.137,0.000
1700204132.321,-169.922,-37.109,-28.320,-211.914,0.000
1700204132.325,-188.965,-37.109,-30.762,-126.465,0.000
1700204132.329,66.406,-36.621,-34.668,88.867,0.000
1700204132.333,134.277,-34.180,-36.133,41.016,0.000
1700204132.337,-91.309,-33.691,-34.668,-175.781,0.000
1700204132.341,-234.375,-38.574,-31.250,-188.477,0.000
1700204132.345,-3.906,-39.551,-26.367,54.688,0.000
1700204132.349,145.508,-31.738,-20.996,94.727,0.000
1700204132.353,-18.066,-30.273,-18.555,-102.051,0.000
1700204132.357,-245.117,-31.738,-20.020,-209.473,0.000
1700204132.360,-75.684,-33.691,-20.996,12.207,0.000
1700204132.364,137.695,-30.762,-20.020,129.883,0.000
1700204132.368,49.805,-31.250,-23.926,-40.039,0.000
1700204132.372,-216.309,-33.691,-28.809,-224.121,0.000
1700204132.376,-138.672,-33.691,-29.785,-60.059,0.000
1700204132.380,105.469,-30.762,-28.809,120.605,0.000
1700204132.384,97.168,-27.344,-29.785,5.371,0.000
1700204132.388,-155.273,-31.250,-27.344,-200.684,0.000
1700204132.392,-208.008,-35.645,-27.344,-152.344,0.000
1700204132.396,37.598,-35.645,-27.344,78.125,0.000
1700204132.399,135.254,-33.203,-21.973,63.965,0.000
1700204132.403,-76.172,-33.691,-26.367,-148.438,0.000
1700204132.407,-237.793,-35.645,-33.691,-182.617,0.000
1700204132.411,-14.160,-32.715,-32.227,65.918,0.000
1700204132.415,147.461,-32.227,-30.273,114.746,0.000
1700204132.419,6.836,-35.645,-32.715,-96.680,0.000
1700204132.423,-242.188,-36.621,-36.133,-223.633,0.000
1700204132.427,-103.516,-36.621,-32.227,-11.230,0.000
1700204132.431,124.023,-35.156,-29.785,112.793,0.000
1700204132.435,63.477,-31.738,-35.645,-41.504,0.000
1700204132.439,-201.660,-31.738,-32.715,-224.121,0.000
1700204132.442,-163.086,-37.109,-23.438,-81.543,0.000
1700204132.446,97.168,-34.668,-18.555,121.094,0.000
1700204132.450,129.395,-32.227,-21.973,23.438,0.000
1700204132.454,-124.023,-34.668,-29.297,-191.895,0.000
1700204132.458,-210.938,-32.715,-38.574,-150.391,0.000
1700204132.462,38.574,-28.320,-39.062,87.891,0.000
1700204132.466,143.555,-29.785,-31.738,77.637,0.000
1700204132.470,-64.941,-37.109,-33.203,-145.996,0.000
1700204132.474,-257.324,-40.527,-29.785,-219.238,0.000
1700204132.478,-52.734,-39.551,-22.949,21.484,0.000
1700204132.482,130.859,-37.109,-28.809,103.516,0.000
1700204132.485,10.254,-39.062,-31.738,-88.867,0.000
1700204132.489,-248.047,-41.016,-32.715,-232.422,0.000
1700204132.493,-124.023,-40.527,-25.391,-35.156,0.000
1700204132.497,115.234,-38.086,-21.973,112.305,0.000
1700204132.501,80.566,-39.551,-26.367,-24.902,0.000
1700204132.505,-184.570,-40.527,-35.645,-221.680,0.000
1700204132.509,-185.547,-44.922,-36.621,-104.980,0.000
1700204132.513,72.754,-41.992,-27.344,110.840,0.000
1700204132.517,124.023,-40.527,-28.809,40.039,0.000
1700204132.521,-114.258,-44.434,-32.715,-168.945,0.000
1700204132.524,-222.168,-42.969,-30.762,-161.133,0.000
1700204132.528,19.531,-40.039,-25.879,61.523,0.000
1700204132.532,142.578,-36.621,-24.414,69.336,0.000
1700204132.536,-25.391,-34.668,-25.879,-132.812,0.000
1700204132.540,-228.027,-37.109,-21.484,-224.121,0.000
1700204132.544,-46.875,-35.156,-20.020,8.789,0.000
1700204132.548,156.250,-27.832,-26.367,112.793,0.000
1700204132.552,52.734,-24.902,-37.598,-65.430,0.000
1700204132.556,-211.426,-24.902,-40.039,-225.586,0.000
1700204132.560,-123.047,-31.738,-34.180,-58.594,0.000
1700204132.564,110.352,-35.645,-24.414,109.375,0.000
1700204132.567,89.844,-35.156,-25.391,-0.488,0.000
1700204132.571,-163.574,-35.156,-28.809,-200.195,0.000
1700204132.575,-184.570,-36.133,-21.484,-124.512,0.000
1700204132.579,69.824,-37.598,-20.508,97.656,0.000
