timestamps,TP9,AF7,AF8,TP10,Right AUX
1700209053.949,-67.383,-42.480,-29.297,-38.086,0.000
1700209053.953,-60.547,-42.969,-29.297,-45.410,0.000
1700209053.957,-17.578,-41.504,-36.621,-37.109,0.000
1700209053.961,-25.879,-43.457,-44.922,-37.598,0.000
1700209053.964,-56.641,-43.457,-44.922,-46.387,0.000
1700209053.968,-44.434,-49.805,-37.109,-30.762,0.000
1700209053.972,-2.441,-44.434,-33.691,-14.160,0.000
1700209053.976,-0.488,-41.016,-24.902,-19.531,0.000
1700209053.980,-33.203,-47.852,-23.438,-24.414,0.000
1700209053.984,-43.945,-36.133,-35.645,-31.738,0.000
1700209053.988,-14.648,-37.598,-38.574,-25.391,0.000
1700209053.992,0.977,-35.156,-33.691,-14.160,0.000
1700209053.996,-20.996,-29.297,-26.855,-22.461,0.000
1700209054.000,-45.898,-40.039,-32.715,-35.645,0.000
1700209054.004,-20.996,-37.598,-32.227,-20.020,0.000
1700209054.007,9.766,-33.691,-28.320,-9.277,0.000
1700209054.011,-20.508,-41.504,-30.762,-25.879,0.000
1700209054.015,-60.547,-46.875,-32.715,-39.551,0.000
1700209054.019,-43.457,-45.410,-33.691,-32.227,0.000
1700209054.023,3.906,-45.410,-29.297,-13.672,0.000
1700209054.027,-10.742,-41.016,-27.344,-16.602,0.000
1700209054.031,-57.617,-36.133,-31.250,-38.574,0.000
1700209054.035,-53.711,-39.551,-29.785,-38.086,0.000
1700209054.039,-2.930,-38.574,-28.320,-17.090,0.000
1700209054.043,4.883,-42.969,-25.879,-12.207,0.000
1700209054.047,-33.203,-38.574,-22.461,-22.461,0.000
1700209054.050,-52.246,-33.203,-18.555,-30.273,0.000
1700209054.054,-17.090,-42.480,-27.832,-21.973,0.000
1700209054.058,3.418,-47.363,-35.645,-13.672,0.000
1700209054.062,-20.996,-47.363,-28.320,-16.602,0.000
1700209054.066,-45.410,-49.316,-21.973,-23.926,0.000
1700209054.070,-24.414,-53.711,-20.020,-20.020,0.000
1700209054.074,4.883,-50.781,-21.484,-6.836,0.000
1700209054.078,-3.906,-34.668,-19.531,-14.648,0.000
1700209054.082,-35.645,-28.809,-19.043,-28.809,0.000
1700209054.086,-40.039,-34.180,-25.391,-25.391,0.000
1700209054.089,-5.859,-39.062,-27.344,-20.020,0.000
1700209054.093,-8.789,-46.875,-27.832,-19.043,0.000
1700209054.097,-44.434,-48.340,-37.109,-29.297,0.000
1700209054.101,-43.945,-47.363,-34.668,-38.574,0.000
1700209054.105,0.977,-40.039,-25.879,-16.113,0.000
1700209054.109,12.695,-36.621,-23.926,-4.395,0.000
1700209054.113,-20.020,-48.340,-27.832,-10.742,0.000
1700209054.117,-40.039,-56.641,-26.855,-16.113,0.000
1700209054.121,-8.789,-41.504,-21.973,-9.277,0.000
1700209054.125,13.184,-33.203,-23.438,0.488,0.000
1700209054.129,-17.090,-41.992,-30.273,-17.578,0.000
1700209054.132,-45.898,-39.062,-29.785,-32.715,0.000
1700209054.136,-20.996,-39.062,-26.855,-20.020,0.000
1700209054.140,17.090,-40.527,-27.344,-7.812,0.000
1700209054.144,0.000,-41.016,-29.785,-25.879,0.000
1700209054.148,-39.062,-41.016,-33.203,-45.410,0.000
1700209054.152,-33.691,-44.434,-31.738,-33.203,0.000
1700209054.156,15.137,-46.387,-34.668,-6.836,0.000
1700209054.160,10.742,-40.039,-40.039,-13.184,0.000
1700209054.164,-33.203,-36.621,-37.598,-40.039,0.000
1700209054.168,-43.457,-44.434,-36.621,-47.363,0.000
1700209054.171,-4.883,-44.434,-36.621,-22.949,0.000
1700209054.175,16.602,-30.273,-35.156,-8.789,0.000
1700209054.179,-21.484,-33.203,-35.156,-26.367,0.000
1700209054.183,-53.223,-39.062,-32.227,-36.621,0.000
1700209054.187,-21.484,-43.457,-34.180,-25.879,0.000
1700209054.191,4.883,-51.758,-30.762,-25.879,0.000
1700209054.195,-21.973,-58.105,-25.391,-34.180,0.000
1700209054.199,-57.129,-56.641,-26.855,-47.852,0.000
1700209054.203,-41.016,-52.734,-21.484,-47.852,0.000
1700209054.207,-4.395,-49.805,-14.648,-28.809,0.000
1700209054.211,-17.090,-48.340,-20.996,-31.250,0.000
1700209054.214,-52.246,-57.129,-23.926,-42.969,0.000
1700209054.218,-58.594,-59.082,-20.996,-34.180,0.000
1700209054.222,-20.508,-47.363,-21.973,-18.555,0.000
1700209054.226,-14.160,-47.852,-25.879,-27.344,0.000
1700209054.230,-42.480,-58.594,-26.367,-37.109,0.000
1700209054.234,-55.176,-54.688,-20.020,-44.922,0.000
1700209054.238,-23.438,-44.922,-20.508,-34.180,0.000
1700209054.242,0.977,-48.340,-21.973,-19.531,0.000
1700209054.246,-23.926,-52.246,-26.855,-33.691,0.000
1700209054.250,-52.246,-57.617,-30.762,-48.340,0.000
1700209054.254,-31.738,-56.641,-26.855,-35.156,0.000
1700209054.257,1.465,-44.434,-26.855,-28.809,0.000
1700209054.261,-11.719,-49.805,-25.879,-27.832,0.000
